regressor_type,emotion_dimension,feature_group_criteria,group_id,hyperparams_json,score
random_forest,Valence,participant,0.0,"""{\""max_depth\"": 9, \""max_features\"": \""sqrt\"", \""max_leaf_nodes\"": 6, \""n_estimators\"": 25}""",-0.49489505071811574
random_forest,Arousal,participant,0.0,"""{\""max_depth\"": 3, \""max_features\"": \""sqrt\"", \""max_leaf_nodes\"": 3, \""n_estimators\"": 50}""",-0.48094814953354525
random_forest,Dominance,participant,0.0,"""{\""max_depth\"": 3, \""max_features\"": \""log2\"", \""max_leaf_nodes\"": 9, \""n_estimators\"": 50}""",-0.47753477010775447
random_forest,Liking,participant,0.0,"""{\""max_depth\"": 9, \""max_features\"": \""log2\"", \""max_leaf_nodes\"": 6, \""n_estimators\"": 25}""",-0.5296713680497349
xgboost_regressor,Valence,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Arousal,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Dominance,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Liking,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
gradientboost_regressor,Valence,participant,0.0,"""{\""learning_rate\"": 0.01, \""max_depth\"": 1, \""n_estimators\"": 500}""",-0.5201436461305858
gradientboost_regressor,Arousal,participant,0.0,"""{\""learning_rate\"": 1, \""max_depth\"": 7, \""n_estimators\"": 250}""",-0.475
gradientboost_regressor,Dominance,participant,0.0,"""{\""learning_rate\"": 1, \""max_depth\"": 5, \""n_estimators\"": 500}""",-0.475
gradientboost_regressor,Liking,participant,0.0,"""{\""learning_rate\"": 1, \""max_depth\"": 1, \""n_estimators\"": 5}""",-0.47993666415207664
svr_regressor,Valence,participant,0.0,"""{\""C\"": 0.1, \""gamma\"": 0.0001, \""kernel\"": \""linear\""}""",-0.5061421506067143
svr_regressor,Arousal,participant,0.0,"""{\""C\"": 0.1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-0.4200000023409939
svr_regressor,Dominance,participant,0.0,"""{\""C\"": 0.1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-0.380000004521478
svr_regressor,Liking,participant,0.0,"""{\""C\"": 100, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-0.4999958114935625
random_forest,Valence,participant,1.0,"""{\""max_depth\"": 6, \""max_features\"": null, \""max_leaf_nodes\"": 6, \""n_estimators\"": 50}""",-0.5363431487816784
random_forest,Arousal,participant,1.0,"""{\""max_depth\"": 3, \""max_features\"": null, \""max_leaf_nodes\"": 6, \""n_estimators\"": 25}""",-0.4658003601523288
random_forest,Dominance,participant,1.0,"""{\""max_depth\"": 6, \""max_features\"": \""log2\"", \""max_leaf_nodes\"": 9, \""n_estimators\"": 25}""",-0.5087990079365079
random_forest,Liking,participant,1.0,"""{\""max_depth\"": 6, \""max_features\"": \""log2\"", \""max_leaf_nodes\"": 3, \""n_estimators\"": 25}""",-0.515680767699531
xgboost_regressor,Valence,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Arousal,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Dominance,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Liking,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
gradientboost_regressor,Valence,participant,1.0,"""{\""learning_rate\"": 1, \""max_depth\"": 5, \""n_estimators\"": 5}""",-0.5
gradientboost_regressor,Arousal,participant,1.0,"""{\""learning_rate\"": 1, \""max_depth\"": 7, \""n_estimators\"": 500}""",-0.425
gradientboost_regressor,Dominance,participant,1.0,"""{\""learning_rate\"": 1, \""max_depth\"": 7, \""n_estimators\"": 250}""",-0.4416666666666667
gradientboost_regressor,Liking,participant,1.0,"""{\""learning_rate\"": 0.01, \""max_depth\"": 1, \""n_estimators\"": 5}""",-0.504455545909189
svr_regressor,Valence,participant,1.0,"""{\""C\"": 1, \""gamma\"": 1, \""kernel\"": \""rbf\""}""",-0.5137434057498332
svr_regressor,Arousal,participant,1.0,"""{\""C\"": 0.1, \""gamma\"": 10, \""kernel\"": \""sigmoid\""}""",-0.42990725833295357
svr_regressor,Dominance,participant,1.0,"""{\""C\"": 100, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-0.49999982521988
svr_regressor,Liking,participant,1.0,"""{\""C\"": 0.1, \""gamma\"": 0.0001, \""kernel\"": \""poly\""}""",-0.40000000024306714
random_forest,Valence,participant,2.0,"""{\""max_depth\"": 3, \""max_features\"": \""log2\"", \""max_leaf_nodes\"": 9, \""n_estimators\"": 25}""",-0.505243926182924
random_forest,Arousal,participant,2.0,"""{\""max_depth\"": 3, \""max_features\"": null, \""max_leaf_nodes\"": 9, \""n_estimators\"": 25}""",-0.42968841198361324
random_forest,Dominance,participant,2.0,"""{\""max_depth\"": 3, \""max_features\"": null, \""max_leaf_nodes\"": 9, \""n_estimators\"": 25}""",-0.5207036936017199
random_forest,Liking,participant,2.0,"""{\""max_depth\"": 6, \""max_features\"": null, \""max_leaf_nodes\"": 3, \""n_estimators\"": 25}""",-0.5345832034866242
xgboost_regressor,Valence,participant,2.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Arousal,participant,2.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Dominance,participant,2.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
xgboost_regressor,Liking,participant,2.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-0.5
gradientboost_regressor,Valence,participant,2.0,"""{\""learning_rate\"": 1, \""max_depth\"": 7, \""n_estimators\"": 5}""",-0.475
